7	5	2	380	0	50	117	9	66	16	1	0	0	0
0	0	0	1	0	0	3	2	16	2	0	0	0	0
0	1	1	3	1	14	22	6	60	2	0	2	0	0
13	20	8	69	89	119	145	25	503	36	2	13	0	58
60	51	49	203	83	1258	2256	147	1251	184	10	45	0	761
3	3	2	7	10	33	23	7	165	11	2	0	0	6
43	51	27	282	51	45	40	107	108	5	18	44	0	997
1	4	7	4	6	32	16	4	81	5	4	2	0	31
1	0	1	2	3	11	22	1	48	6	0	0	0	17
0	0	3	4	5	12	24	1	78	6	1	0	0	157
29	5	29	90	184	61	59	4	279	26	8	14	0	229
0	0	0	29	0	2	1	0	0	0	2	3	0	0
0	0	0	36	0	1	3	0	11	0	0	0	0	0
189	100	191	1018	75	269	479	52	1506	69	38	115	0	1128
2	1	72	19	28	1	1	1	21	0	12	42	0	799
6	7	3	32	6	34	72	55	215	16	9	10	0	0
0	0	0	0	2	1	4	2	20	3	0	1	0	0
1	3	8	58	5	24	25	8	88	8	2	2	0	40
152	170	139	669	7	223	124	5	329	26	26	90	0	821
51	91	27	210	0	114	44	0	77	10	5	62	0	39
1	6	2	37	1	33	30	1	74	2	3	0	0	61
0	0	0	0	2	1	4	0	6	0	0	3	0	0
0	0	0	0	0	1	0	0	6	1	0	0	0	0
0	0	0	1	0	0	4	0	6	0	0	0	0	0
0	3	4	28	0	4	2	0	25	0	0	12	0	69
40	14	10	375	0	16	38	4	47	3	9	9	0	23
96	68	47	536	6	101	234	16	202	26	30	98	0	1014
0	1	10	7	0	10	9	3	190	3	0	4	0	34
1	2	1	2	8	4	12	2	58	1	0	0	0	0
33	16	115	584	16	68	132	20	404	23	7	75	0	327
7	14	25	8	1	24	85	7	137	17	7	19	0	99
0	0	0	2	0	6	48	6	59	3	1	1	0	0
0	0	0	0	1	1	1	1	24	1	0	0	0	0
28	38	68	224	22	119	239	26	395	47	5	85	0	264
15	9	1	30	2	57	40	1	57	6	1	18	0	6
1	6	2	35	3	38	222	7	150	14	0	9	0	406
11	7	28	69	67	55	80	21	634	21	10	26	0	381
0	0	1	1	0	1	3	0	13	1	0	0	0	0
1	5	15	1	51	12	33	6	97	5	0	16	0	1301
16	22	68	148	86	35	60	6	189	10	10	69	0	1415
0	0	0	1	0	0	1	0	7	0	0	0	0	0
6	4	3	1	1	2	4	1	19	0	2	16	0	30
0	5	1	4	10	14	33	3	150	9	2	4	0	128
0	4	2	8	44	12	25	6	138	8	3	1	0	64
37	21	24	114	133	127	153	14	354	17	15	52	0	710
0	0	0	0	1	1	1	0	3	0	0	0	0	0
9	6	53	153	78	36	34	5	195	11	15	22	0	301
1	6	46	2	196	9	10	2	34	5	25	31	0	1330
1	1	0	4	0	0	1	1	9	0	0	0	0	0
45	94	198	75	130	74	47	28	214	15	24	291	0	8407
13	24	58	132	15	16	11	2	45	2	14	100	0	389
38	44	109	172	56	65	122	5	82	9	21	166	0	846
2	1	5	1	3	0	3	0	15	3	1	2	0	0
2	2	6	2	0	3	6	1	14	0	0	14	0	10
5	19	76	7	17	21	30	8	90	10	7	89	0	1099
1	1	3	4	9	16	23	2	60	6	0	0	0	36
1	5	0	13	0	9	2	0	28	2	0	0	0	0
0	3	5	4	3	6	11	3	51	5	0	6	0	12
1	7	68	43	103	50	60	12	233	20	7	22	0	383
28	9	16	219	6	125	177	4	320	40	4	21	0	23
39	102	19	152	13	191	94	16	225	33	14	35	0	222
12	21	4	62	3	61	70	2	152	14	7	3	0	4
21	21	13	185	29	101	94	30	272	16	7	27	0	517
4	2	0	13	4	25	47	13	165	14	3	0	0	8
59	66	190	739	32	192	230	21	531	65	17	151	0	423
3	6	11	12	5	13	22	4	62	6	2	12	0	110
0	0	0	40	0	3	1	0	5	2	0	0	0	0
0	2	4	14	5	18	34	0	72	10	0	1	0	146
5	2	45	1	43	152	230	3	163	38	9	53	0	67
7	7	18	36	44	92	130	25	456	26	0	9	0	879
1	0	0	2	2	6	9	0	35	3	0	1	0	4
42	73	118	59	34	130	141	4	109	19	13	181	0	554
3	5	29	10	0	18	21	3	20	3	1	32	0	234
17	38	136	492	126	203	189	12	669	49	49	167	0	797
1	4	5	17	0	31	20	1	14	5	0	4	0	11
0	0	0	0	1	0	0	1	5	0	0	0	0	3
23	33	28	86	19	55	39	11	64	13	8	135	0	202
