0	0	51	0	4	0	2	25	0
12	63	6	40	10	0	38	47	9
52	266	129	96	47	6	234	202	30
1	1	14	0	10	0	9	190	0
0	2	0	1	1	8	12	58	0
20	82	85	33	115	16	132	404	7
0	64	13	7	25	1	85	137	7
4	40	0	0	0	0	48	59	1
0	1	0	0	0	1	1	24	0
37	76	67	28	68	22	239	395	5
10	7	0	15	1	2	40	57	1
9	132	0	1	2	3	222	150	0
20	21	26	11	28	67	80	634	10
0	1	0	0	1	0	3	13	0
3	0	39	1	15	51	33	97	0
13	41	133	16	68	86	60	189	10
0	0	0	0	0	0	1	7	0
6	27	0	6	3	1	4	19	2
1	4	8	0	1	10	33	150	2
2	6	2	0	2	44	25	138	3
25	22	19	37	24	133	153	354	15
1	1	0	0	0	1	1	3	0
23	16	45	9	53	78	34	195	15
30	0	121	1	46	196	10	34	25
0	0	0	1	0	0	1	9	0
19	60	511	45	198	130	47	214	24
4	31	125	13	58	15	11	45	14
20	90	466	38	109	56	122	82	21
2	3	0	2	5	3	3	15	1
28	9	1	2	6	0	6	14	0
23	0	116	5	76	17	30	90	7
16	0	4	1	3	9	23	60	0
4	12	0	1	0	0	2	28	0
1	0	1	0	5	3	11	51	0
11	14	33	1	68	103	60	233	7
26	82	4	28	16	6	177	320	4
105	116	39	39	19	13	94	225	14
6	64	0	12	4	3	70	152	7
15	134	21	21	13	29	94	272	7
2	9	0	4	0	4	47	165	3
141	126	195	59	190	32	230	531	17
0	12	14	3	11	5	22	62	2
0	0	0	0	0	0	1	5	0
0	0	3	0	4	5	34	72	0
8	5	41	5	45	43	230	163	9
15	25	26	7	18	44	130	456	0
0	0	0	1	0	2	9	35	0
69	126	159	42	118	34	141	109	13
3	19	372	3	29	0	21	20	1
29	222	747	17	136	126	189	669	49
0	3	19	1	5	0	20	14	0
0	0	0	0	0	1	0	5	0
27	32	100	23	28	19	39	64	8
47	64	316	32	116	26	94	205	19
20	32	215	9	88	7	57	138	11
29	251	216	15	91	8	89	173	15
73	143	163	49	67	16	108	239	12
417	1045	2110	445	1135	891	759	741	257
3	6	13	7	2	1	4	28	0
3	1	2	1	1	1	11	42	1
1	4	2	0	2	1	11	65	0
231	998	77	306	135	34	2053	1734	57
3	6	0	0	2	0	119	51	0
7	9	0	3	2	7	78	351	2
3	5	1	9	1	4	8	33	2
502	1726	308	490	305	162	2776	3387	121
8	13	7	2	4	0	9	75	1
141	41	13	36	15	2	13	40	3
14	92	40	38	31	53	191	409	27
0	97	3	10	12	0	30	59	6
222	446	666	131	415	194	975	1313	43
106	195	200	114	88	38	637	676	29
2	0	23	0	0	0	12	3	0
1	2	29	1	6	9	10	15	0
1	1	1	3	1	0	1	2	0
146	120	328	105	205	135	125	281	43
